Genotype,,,RP979-1,RP979-2,RP979-3,RP979-4,RP979-5,RP979-6,RP979-7,RP979-8,RP979-9,RP979-10,RP979-11,RP979-12,RP979-13,RP979-14,RP979-15,RP979-16,RP979-17,RP979-18,RP979-19,RP979-20,RP979-21,RP979-22,RP979-23,RP979-24,RP979-25,RP979-26,RP979-27,RP979-28,RP979-29,RP979-30,RP979-31,RP979-32,RP979-33,RP979-34,RP979-35,RP979-36,RP979-37,RP979-38,RP979-39,RP979-40,RP979-41,RP979-42,RP979-43,RP979-44,RP979-45,RP979-46,RP979-47,RP979-48,RP979-49,RP979-50,RP979-51,RP979-52,RP979-53,RP979-54,RP979-55,RP979-56,RP979-57,RP979-58,RP979-59,RP979-60,RP979-61,RP979-62,RP979-63,RP979-64,RP979-65,RP979-66,RP979-67,RP979-68,RP979-69,RP979-70,RP979-71,RP979-72,RP979-73,RP979-74,RP979-75,RP979-76,RP979-77,RP979-78,RP979-79,RP979-80,RP979-81,RP979-82,RP979-83,RP979-84,RP979-85,RP979-86,RP979-87,RP979-88,RP979-89,RP979-90,RP979-91,RP979-92,RP979-93,RP979-94,RP979-95,RP979-96,RP979-97,RP979-98,RP979-99,RP979-100,RP979-101,RP979-102,RP979-103,RP979-104,RP979-105,RP979-106,RP979-107,RP979-108,RP979-109,RP979-110,RP979-111,RP979-112,RP979-113,RP979-114,RP979-115,RP979-116,RP979-117,RP979-118,RP979-119,RP979-120,RP979-121,RP979-122,RP979-123,RP979-124,RP979-125,RP979-126,RP979-127,RP979-128,RP979-129,RP979-130,RP979-131,RP979-132,RP979-133,RP979-134,RP979-135,RP979-136,RP979-137,RP979-138,RP979-139,RP979-140,RP979-141,RP979-142,RP979-143,RP979-144,RP979-145,RP979-146,RP979-147,RP979-148,RP979-149,RP979-150,RP979-151,RP979-152,RP979-153,RP979-154,RP979-155,RP979-156,RP979-157,RP979-158,RP979-159,RP979-160,RP979-161,RP979-162,RP979-163,RP979-164,RP979-165,RP979-166,RP979-167,RP979-168,RP979-169,RP979-170,RP979-171,RP979-172,RP979-173,RP979-174,RP979-175,RP979-176,RP979-177,RP979-178,RP979-179,RP979-180,RP979-181,RP979-182,RP979-183,RP979-184,RP979-185,RP979-186,RP979-187,RP979-188,RP979-189,RP979-190
4A_149527044,4A,41.864,-,-,B,A,B,-,A,B,A,A,B,-,-,A,A,-,A,-,A,A,B,-,-,-,-,-,B,A,B,-,A,-,B,B,B,-,A,A,-,B,-,B,B,A,A,B,B,B,-,B,-,A,A,-,B,B,A,A,-,-,-,-,A,B,B,B,A,B,-,A,B,A,-,-,B,-,B,A,B,A,B,A,B,B,A,-,-,A,A,B,-,A,B,B,A,B,-,A,-,B,-,-,-,-,-,A,B,B,A,-,-,A,-,B,A,-,B,B,-,-,A,-,A,-,-,-,-,B,-,-,B,-,B,-,A,B,A,A,B,B,-,-,B,B,A,A,-,-,A,-,A,A,-,A,A,B,A,-,A,-,-,B,B,-,-,A,A,A,-,B,-,B,-,A,-,-,-,-,B,-,B,B,B,-,B,-,-,A,B,-
4A_158300777,4A,44.074,-,-,B,A,B,A,A,B,A,A,-,B,B,A,-,A,A,A,-,-,-,-,A,-,-,B,-,A,B,-,A,A,B,B,-,B,A,A,A,B,-,B,B,A,A,B,-,B,B,B,A,A,A,A,B,B,A,A,-,B,B,B,A,-,-,B,A,B,A,A,B,A,-,B,-,A,B,A,B,-,B,-,B,-,A,-,B,-,A,-,-,-,B,B,-,-,A,-,-,B,-,A,B,B,B,-,B,B,A,-,-,-,-,-,A,B,B,-,-,A,A,B,A,A,A,-,A,B,-,-,B,-,B,-,-,B,A,-,B,-,-,-,-,-,-,A,-,-,-,-,A,-,-,A,-,-,-,A,A,-,B,B,B,A,A,-,-,A,B,B,B,-,B,A,-,-,-,-,-,-,-,-,-,B,B,A,-,-,B,A
4A_159385410,4A,50.129,-,B,B,A,-,-,A,B,A,A,B,-,B,A,A,A,A,A,A,A,B,A,A,B,A,B,-,A,-,A,A,A,B,B,B,B,-,A,A,B,-,B,B,A,A,B,B,B,B,B,A,A,A,-,B,B,-,A,-,-,B,B,-,B,-,B,-,-,-,A,B,A,B,B,B,A,B,A,B,A,-,A,B,B,-,-,B,-,A,B,A,A,B,-,A,B,A,B,-,B,-,A,B,-,-,A,B,-,-,A,B,A,-,B,A,B,-,-,B,-,A,B,-,-,A,-,A,-,-,A,B,-,B,A,-,B,A,-,B,-,-,B,B,B,-,A,-,B,A,B,-,-,B,-,-,-,-,-,A,-,B,B,B,A,A,A,A,A,-,B,B,B,-,A,-,-,A,A,B,A,B,-,B,B,-,A,-,A,-,A
4A_164485410,4A,38.584,-,B,B,A,-,A,-,B,A,A,B,B,-,A,A,A,A,A,A,A,-,-,A,B,A,B,B,A,-,A,A,A,B,B,B,B,A,A,-,B,-,B,B,A,A,B,B,B,-,B,A,A,-,A,B,B,A,A,B,B,-,B,A,B,-,B,A,B,A,A,B,A,B,B,B,-,B,A,B,A,B,A,B,B,A,-,B,A,A,B,-,A,B,-,A,-,-,B,-,B,B,-,B,B,B,-,B,-,A,-,A,A,-,-,A,B,B,B,B,A,A,-,A,A,-,B,A,B,A,A,-,A,B,-,A,B,A,A,-,B,-,B,-,-,-,A,-,B,-,-,A,A,B,-,-,B,A,A,A,A,B,-,B,A,-,-,A,A,B,B,B,B,B,-,A,-,A,-,B,A,B,-,-,B,B,A,B,A,B,A
4B_162088027,4A,38.584,-,B,B,A,B,A,A,B,A,A,B,B,-,A,A,A,A,A,A,A,B,-,A,B,A,B,B,A,B,-,A,A,B,B,-,B,A,A,-,-,-,B,-,A,A,B,B,B,B,-,A,A,A,A,B,-,A,A,B,B,-,B,A,B,-,B,A,B,A,A,B,A,B,B,B,A,B,A,-,A,B,A,B,B,A,-,B,A,A,B,A,-,-,B,A,-,A,B,-,-,B,-,B,B,B,-,B,B,A,A,-,A,B,-,A,B,B,B,B,A,A,-,A,-,A,B,A,-,A,-,B,A,B,-,-,B,A,A,B,B,-,B,-,B,A,A,-,-,-,-,A,A,B,A,A,-,A,-,-,A,B,B,B,A,-,A,A,A,-,B,B,B,B,A,-,-,A,A,B,A,B,B,B,-,B,-,B,-,B,A
1A_23622860,4A,42.929,-,B,B,A,B,A,A,B,A,A,B,-,-,A,A,A,A,A,A,-,B,-,A,B,A,B,B,A,B,A,A,-,B,B,B,B,A,-,A,B,-,B,B,-,A,B,B,B,B,-,A,A,A,-,B,-,A,A,B,B,B,B,A,B,-,B,A,B,A,A,B,A,B,B,B,A,B,A,B,-,B,A,B,B,A,-,B,A,A,B,A,A,B,B,A,B,-,-,-,B,B,A,B,-,B,-,B,B,A,A,-,-,B,B,-,B,-,-,A,-,A,B,-,A,A,B,A,B,A,A,-,-,B,A,A,B,-,-,-,B,-,B,B,B,A,-,-,B,A,B,A,A,B,A,A,-,A,A,A,-,-,B,B,A,A,A,A,A,B,B,-,B,B,-,A,B,A,A,-,-,B,B,B,B,B,A,-,A,-,A
1A_218127479,4A,44.824,-,B,B,A,B,A,A,B,A,A,-,-,B,A,A,A,A,A,A,A,B,A,A,B,A,B,B,A,B,-,A,A,B,-,B,B,-,A,-,-,-,B,B,-,-,B,B,-,B,B,A,-,-,-,B,B,-,-,B,B,-,B,A,B,-,B,A,B,A,A,B,A,B,B,B,-,B,A,B,A,-,-,B,B,-,-,B,-,A,B,-,A,B,B,A,B,-,B,-,B,B,A,B,B,B,A,B,B,A,-,A,-,-,B,A,B,B,B,A,A,A,-,A,A,A,B,A,B,A,A,B,A,-,-,-,B,A,-,B,B,-,B,B,B,-,-,-,B,-,-,A,-,B,A,A,-,-,-,A,A,B,B,B,A,-,-,A,-,B,-,B,B,B,-,A,-,A,-,B,-,B,-,-,B,B,-,-,A,B,A
1B_215586816,4A,44.719,-,B,B,-,B,A,A,B,-,A,B,B,-,A,A,A,-,A,-,-,B,-,-,B,A,B,-,A,-,A,A,A,B,B,-,-,A,-,-,B,-,B,-,A,-,B,B,-,B,-,-,-,-,-,B,-,-,A,-,B,B,-,A,-,B,-,A,B,A,A,B,A,B,B,-,A,B,-,B,-,B,A,B,B,-,-,-,-,A,B,A,A,-,B,A,B,-,-,-,-,-,A,B,B,B,-,-,B,-,-,-,A,-,-,A,-,B,B,A,A,A,-,-,A,A,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,-,-,-,-,B,A,-,A,-,-,-,-,-,-,-,-,-,B,B,-,-,A,-,-,-,-,B,-,-,-,-,A,B,A,-,B,A,B,-,B,-,B,-,A,A,-,A
4A_7311231,4A,36.973,-,B,B,A,B,A,A,B,-,A,-,B,B,A,A,A,A,A,A,A,-,-,-,-,A,B,B,A,-,-,-,A,-,-,B,B,-,-,A,B,-,B,B,A,A,B,-,B,-,B,-,-,A,A,B,-,-,A,-,B,B,-,A,B,-,B,A,-,A,A,-,-,B,B,B,A,B,A,-,A,B,A,B,B,-,-,-,A,A,-,-,A,B,B,A,B,-,B,-,-,B,-,-,B,-,-,B,B,A,A,A,-,B,B,A,-,B,B,A,-,-,B,-,A,-,B,-,B,A,-,B,A,B,-,A,-,-,-,-,B,-,-,-,B,-,-,-,-,-,B,-,A,-,-,-,B,A,A,A,-,B,B,B,A,-,A,A,-,B,-,B,B,-,-,-,B,-,A,B,-,B,B,B,-,B,A,-,-,B,A
4A_134471178,4A,44.824,-,B,B,A,B,A,A,B,A,-,B,-,-,-,-,A,-,A,A,A,B,-,-,-,-,B,B,A,B,-,A,-,B,-,B,-,A,A,-,B,-,B,-,A,A,B,B,B,-,B,-,-,-,-,B,B,-,A,-,-,-,-,-,B,-,B,A,B,A,A,B,-,B,B,B,A,B,A,B,A,B,A,B,B,A,A,B,A,A,B,-,A,B,-,A,-,A,-,-,-,-,-,-,-,B,A,-,-,A,-,A,-,B,-,-,-,-,-,A,-,A,-,-,A,-,B,-,B,A,-,-,-,-,-,A,B,-,A,-,B,-,B,B,-,-,-,-,B,-,-,A,-,-,-,-,B,A,-,-,-,-,-,-,-,A,A,-,A,-,B,B,-,-,-,-,-,A,-,-,-,B,-,-,-,B,A,-,-,B,A
4A_136738031,4A,43.045,-,B,B,-,B,A,A,B,A,A,B,-,B,A,A,A,A,-,A,A,B,-,A,B,A,B,B,A,B,A,A,A,B,B,B,B,A,A,A,B,B,B,-,A,A,B,B,B,B,B,A,-,A,A,B,B,A,A,-,B,B,B,A,-,B,B,A,B,A,A,B,-,B,B,B,A,B,A,B,A,-,A,B,B,A,A,B,A,A,B,A,-,B,B,A,B,A,-,-,B,-,A,B,B,B,-,-,B,A,-,A,A,B,-,A,-,B,-,A,A,A,B,A,A,-,B,A,-,A,A,B,A,B,-,A,B,A,-,B,-,-,B,B,-,-,-,-,B,A,B,-,A,B,A,A,B,A,A,A,A,B,B,B,A,A,A,-,A,B,B,B,B,B,A,-,-,A,A,-,A,B,-,B,B,B,A,-,-,B,A
4A_142752160,4A,44.824,-,B,B,A,B,-,A,B,-,A,B,-,-,A,-,-,A,-,-,-,B,-,-,-,-,-,B,A,B,-,A,-,B,B,-,-,-,A,A,B,-,B,B,A,-,B,B,-,-,-,A,A,A,A,-,-,A,A,-,B,B,-,A,B,-,B,-,B,A,-,B,A,-,-,-,A,B,-,B,A,B,A,B,B,A,-,-,-,A,B,-,A,B,-,A,-,-,B,-,B,B,-,B,B,-,A,-,B,-,A,A,A,-,-,A,-,-,B,A,-,A,B,-,A,-,-,-,B,A,A,-,A,-,A,-,-,A,A,-,-,-,-,-,B,-,-,-,-,A,B,-,-,-,A,A,-,A,-,A,A,B,-,B,-,A,-,-,A,B,B,-,-,-,A,A,-,A,-,-,A,B,-,B,B,B,-,-,-,-,A
4A_144630970,4A,37,-,B,B,A,B,A,A,B,A,A,B,B,B,A,-,-,A,A,A,A,B,-,-,B,A,B,B,A,B,A,A,A,B,B,B,-,-,A,A,B,-,-,B,A,A,B,B,B,B,B,A,A,A,-,-,B,A,A,B,-,B,B,A,B,-,B,A,B,A,A,-,-,-,B,-,-,B,A,B,A,B,A,B,B,A,-,B,A,A,B,A,A,B,B,A,-,A,B,-,-,B,-,B,B,-,A,-,B,A,-,-,-,-,-,-,B,B,-,A,A,A,-,A,A,-,-,A,B,A,A,-,-,B,A,A,-,A,-,-,B,-,-,-,B,-,-,-,B,A,B,A,A,-,A,A,B,A,A,A,A,B,B,B,A,A,A,A,A,-,-,B,-,B,-,A,-,-,-,B,-,-,-,-,-,-,A,-,A,B,A
4A_147527898,4A,50.418,-,B,B,-,-,A,A,B,A,A,B,-,B,A,A,-,A,A,A,A,B,-,A,B,A,B,B,A,B,A,A,A,B,B,B,B,A,A,A,B,B,B,B,-,A,B,B,-,B,-,A,A,A,A,B,B,A,A,-,B,B,B,-,B,-,B,A,B,A,A,-,A,B,B,-,A,B,A,B,A,B,A,B,B,A,-,-,A,A,B,A,A,B,B,-,B,A,B,-,B,B,-,B,B,B,A,B,B,A,-,-,-,-,B,-,B,B,B,-,A,A,B,A,A,A,B,A,B,A,-,B,A,-,-,A,B,A,-,B,-,-,B,B,-,A,A,A,-,A,B,-,A,B,A,-,B,A,-,A,A,B,B,-,A,A,A,A,A,B,B,B,B,B,A,-,-,A,-,B,A,B,-,B,-,-,A,-,A,-,A
4A_156911494,4A,50.091,-,B,B,A,B,A,-,B,A,A,B,B,-,A,A,A,A,-,A,-,-,-,-,-,A,B,-,A,B,A,-,A,-,B,B,B,A,A,-,-,B,B,B,A,A,B,B,B,B,B,A,-,A,-,B,B,A,-,B,-,B,-,A,B,-,B,-,-,-,A,B,A,B,-,B,A,-,A,-,A,B,-,B,B,A,-,-,A,A,B,A,A,B,B,A,-,-,-,-,B,B,-,B,-,B,A,B,B,A,A,B,A,B,-,A,-,B,B,-,-,-,B,A,-,A,B,-,-,A,-,-,-,B,A,A,B,A,-,B,-,-,B,-,-,-,A,-,B,-,B,A,-,B,-,-,-,A,-,-,A,-,B,B,-,-,A,A,-,-,-,-,-,-,A,-,B,A,-,B,-,B,-,B,B,-,A,B,-,-,A
4B_137898849,4A,44.824,-,-,B,A,B,A,A,B,A,A,-,B,-,A,A,A,A,A,-,A,B,-,-,-,A,B,B,A,-,-,A,A,-,B,B,B,A,A,-,B,-,B,B,A,A,B,B,B,B,B,A,A,A,A,B,B,A,A,B,B,B,B,A,B,-,B,A,-,A,A,B,-,B,B,B,-,-,A,B,A,-,A,B,B,A,-,-,A,A,B,A,A,B,B,A,B,-,B,-,B,-,A,B,B,B,A,B,-,-,A,A,-,B,B,A,B,B,B,A,-,A,-,A,-,A,B,A,B,-,-,-,A,B,A,A,-,A,-,-,-,-,-,-,B,A,A,-,B,A,B,-,A,-,A,A,-,A,A,A,-,B,B,-,A,A,A,A,A,B,B,B,-,B,A,-,B,-,-,B,A,B,B,B,B,B,A,-,A,B,A
4B_174362093,4A,44.86,-,B,B,A,B,A,A,B,-,-,-,-,B,-,A,-,A,-,A,A,-,-,-,B,-,-,-,A,B,-,-,A,B,B,-,-,A,-,-,-,-,B,-,A,A,B,B,B,-,-,A,-,-,A,B,B,-,A,-,B,-,-,-,B,B,B,-,B,A,A,B,-,B,B,B,-,-,A,-,A,B,A,B,-,-,-,B,-,A,B,A,A,B,B,A,B,A,B,-,B,-,A,-,B,B,A,-,B,-,A,-,A,-,-,A,-,-,-,A,-,-,-,A,A,-,B,-,B,A,-,B,-,-,-,A,-,A,-,B,-,-,B,-,B,-,-,-,-,-,B,A,-,-,-,-,-,-,-,-,A,B,B,B,-,A,A,A,A,-,-,-,B,-,-,-,-,A,A,-,-,B,-,-,B,B,A,-,-,B,A
4A_124579660,4A,40.835,-,B,B,A,B,A,A,B,A,-,-,B,B,-,A,A,A,A,A,A,B,-,A,B,A,-,B,A,B,-,A,A,-,B,B,B,A,-,-,-,-,B,-,A,A,B,-,B,B,B,-,A,-,A,B,B,A,A,-,B,B,-,-,B,B,B,-,B,A,A,B,-,B,B,-,A,B,A,B,A,-,A,B,B,-,-,B,A,A,B,A,A,B,B,-,-,-,-,-,-,-,A,-,-,-,B,B,B,A,-,-,-,B,-,A,-,B,B,B,A,A,-,A,-,-,B,A,B,A,A,-,-,-,-,A,-,A,-,B,B,-,B,-,B,A,A,-,B,A,B,A,A,-,-,-,B,-,-,A,A,-,B,B,A,A,A,-,A,B,B,B,B,B,A,-,B,-,A,-,A,-,-,-,-,B,-,-,-,A,A
4A_131095352,4A,52.47,-,B,B,A,B,A,A,B,-,A,-,-,-,A,B,-,-,A,A,-,B,-,A,-,A,B,B,-,B,A,A,A,B,B,-,-,A,-,A,-,B,B,B,A,A,B,B,B,B,B,A,A,A,A,B,B,A,-,B,B,B,B,-,-,A,B,A,-,A,-,B,A,B,-,B,A,B,A,B,-,B,A,-,B,A,-,B,-,A,-,A,-,B,B,-,-,-,-,-,-,B,-,-,B,B,-,B,B,-,-,B,-,-,B,A,B,B,-,-,A,A,B,A,A,-,-,A,B,A,A,-,A,-,-,A,-,A,-,-,B,-,B,-,B,-,-,-,-,-,-,A,A,B,A,A,B,A,A,-,-,-,B,-,-,A,A,A,A,-,B,-,B,-,A,-,B,-,A,B,-,B,B,-,B,B,A,A,A,-,A
4A_141843872,4A,48.17,-,B,B,-,B,A,-,B,A,A,B,B,B,A,B,A,A,A,A,A,-,-,A,B,A,B,B,-,B,A,A,A,-,B,-,B,A,A,-,B,A,B,B,A,A,B,B,B,B,B,A,-,A,A,B,B,A,A,B,B,B,B,-,B,-,B,A,B,-,A,B,A,B,A,B,A,-,A,-,A,B,A,B,B,A,-,-,A,A,B,A,A,B,B,A,B,-,A,-,-,B,A,-,B,B,-,B,B,-,-,B,A,-,-,A,-,-,-,-,A,A,-,A,A,A,B,A,B,A,-,-,A,B,-,A,-,A,A,-,B,-,B,B,B,A,-,-,-,-,-,A,A,B,A,A,B,A,A,A,A,B,B,-,-,A,A,A,A,B,B,-,-,B,A,-,B,-,A,-,-,B,B,B,-,B,A,-,A,-,A
4A_159446698,4A,52.634,-,B,B,A,B,A,A,B,A,A,-,B,-,A,B,A,A,A,A,A,B,-,A,-,-,B,B,A,B,A,A,-,B,B,B,-,A,A,-,-,-,B,B,A,A,B,B,B,B,B,-,A,A,A,-,B,A,-,B,B,B,-,A,B,A,B,A,-,A,A,B,-,-,-,B,A,B,A,B,A,B,A,B,B,A,-,B,-,A,B,A,A,B,-,-,-,A,B,-,B,B,A,B,B,B,-,-,B,A,A,-,A,B,B,A,B,B,-,B,-,-,B,A,A,A,B,A,-,A,-,B,-,-,-,A,-,A,-,-,B,-,-,B,B,-,B,-,-,A,B,-,A,B,-,-,B,A,-,A,-,B,B,-,A,A,A,A,A,B,B,B,B,-,-,A,B,A,A,B,-,B,B,-,-,B,-,A,A,A,-
4A_161115943,4A,47.625,-,B,B,A,B,A,A,B,A,A,-,B,B,A,B,-,A,A,A,A,B,-,A,B,-,B,B,-,B,-,-,A,B,B,B,B,A,A,-,B,-,B,B,-,A,B,B,B,B,-,A,-,A,-,B,B,A,A,-,B,-,B,-,B,-,-,A,B,A,A,B,-,B,A,B,A,B,-,-,A,B,-,B,-,A,-,B,A,A,B,A,A,B,B,A,-,-,-,-,B,B,A,B,B,B,B,-,-,A,A,B,A,-,B,-,-,-,-,B,A,-,B,A,A,A,B,A,B,-,-,-,A,-,-,A,-,-,-,B,-,-,B,B,-,A,-,-,B,A,B,A,A,-,A,A,-,-,-,A,-,B,B,-,A,A,A,A,-,B,B,B,B,B,-,A,-,-,A,-,A,B,B,-,B,B,A,A,A,A,A
4A_117563589,4A,53.725,-,B,B,A,B,A,A,B,A,A,-,B,B,A,B,A,A,A,-,A,-,-,A,B,A,B,B,A,B,A,-,A,B,B,-,B,A,A,A,B,-,B,-,A,A,B,B,B,B,B,A,A,A,-,-,-,A,A,-,B,B,B,A,B,A,B,A,-,A,A,B,A,-,A,B,A,-,A,B,A,-,A,B,B,A,-,-,A,-,B,A,-,B,B,A,B,A,B,-,B,B,A,-,-,-,A,-,B,A,A,B,-,-,-,A,-,B,-,B,A,-,-,-,-,A,-,-,-,A,A,-,-,-,-,A,B,-,-,B,B,-,B,-,B,-,-,-,-,-,B,A,A,B,A,-,B,-,-,A,-,B,B,-,-,A,A,-,A,-,-,B,B,B,A,A,-,A,-,B,A,B,B,-,B,B,A,-,A,A,A
4A_132646207,4A,52.53,-,B,B,A,B,A,A,B,A,A,A,B,-,-,-,A,A,A,A,A,B,-,A,-,-,B,B,-,B,A,-,A,B,B,B,B,-,-,-,B,B,-,B,A,-,B,B,B,-,B,A,A,-,-,-,-,A,A,-,B,-,B,A,B,-,B,A,B,A,A,B,A,-,A,B,A,-,A,B,-,-,A,B,B,-,-,B,-,-,B,A,A,B,-,-,-,-,B,-,B,-,A,-,-,-,-,-,-,A,A,-,-,-,-,A,-,-,-,B,-,-,-,A,-,A,B,-,B,-,A,-,A,-,-,A,B,-,-,B,-,-,B,-,-,-,-,-,B,A,-,-,-,B,-,-,B,A,-,A,A,-,B,B,A,-,A,-,-,B,-,B,-,-,-,A,-,-,-,B,-,B,B,B,-,-,-,-,-,A,-
4A_133413410,4A,47.329,-,B,B,A,B,A,A,B,A,A,-,B,B,A,B,A,A,A,A,A,B,-,A,B,A,B,B,A,B,A,-,A,B,B,B,B,A,A,-,B,-,B,B,A,A,B,B,B,-,B,A,A,A,A,B,B,A,A,B,B,B,B,A,B,A,B,A,B,A,A,B,A,-,A,B,A,B,A,B,A,B,A,B,B,A,-,-,-,A,B,A,A,B,B,A,-,-,B,-,B,B,-,B,B,B,-,B,B,A,A,B,A,B,-,A,B,-,B,B,-,A,-,A,-,A,B,A,B,A,A,-,A,-,-,A,B,A,-,B,B,-,B,-,B,A,B,-,-,A,B,A,A,-,A,A,B,A,-,-,A,B,B,B,A,A,A,A,A,B,B,B,B,B,A,A,B,A,A,B,A,B,B,B,-,B,A,-,A,A,A
4A_141842889,4A,51.988,-,-,B,A,B,A,A,B,A,A,B,B,-,A,-,A,A,-,A,A,-,-,-,B,A,B,B,A,B,A,-,A,-,B,B,B,A,A,-,B,-,-,B,A,A,B,B,B,-,B,A,-,A,A,B,B,A,-,B,-,-,B,A,B,A,-,-,-,A,A,B,A,-,A,B,A,-,A,B,A,B,-,-,B,A,A,B,A,A,B,A,A,B,-,A,-,A,-,-,-,-,A,-,B,-,-,B,-,A,-,-,-,B,B,-,B,B,-,B,-,A,B,A,A,-,B,A,B,A,A,B,A,B,A,A,B,-,A,B,B,-,-,B,B,-,B,-,B,A,B,A,-,B,A,-,B,A,A,A,-,-,-,B,A,A,A,A,A,B,B,-,B,B,-,-,B,-,-,-,A,-,-,-,-,B,A,-,-,A,A
4A_144291871,4A,54.605,-,-,-,-,B,A,-,-,-,A,-,-,B,A,B,-,A,-,-,A,B,-,A,-,-,-,B,A,-,A,-,A,B,-,B,-,A,A,A,B,-,-,-,A,A,B,B,B,-,-,-,-,A,A,B,B,A,-,-,-,B,B,-,-,-,B,-,B,A,-,B,-,B,A,B,A,-,-,-,A,-,A,B,B,-,-,-,A,A,B,-,A,-,B,-,-,-,B,-,B,B,-,-,-,-,-,-,-,A,A,B,-,B,B,A,B,-,B,-,-,A,-,A,-,A,-,-,-,-,A,-,-,B,-,A,B,A,A,-,B,-,-,-,B,-,-,-,B,A,B,A,-,B,-,-,-,-,-,-,-,B,-,B,-,A,-,A,-,B,B,B,-,-,-,A,B,A,-,B,A,B,B,B,B,-,-,B,-,A,A
4A_153113295,4A,47.313,-,B,B,-,-,A,A,B,A,A,-,-,B,A,-,A,-,A,A,A,B,-,-,B,A,B,B,A,B,A,A,A,B,B,B,B,-,A,A,B,B,B,B,A,A,-,B,B,B,B,A,A,A,A,B,B,A,A,B,B,B,B,A,-,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,A,B,A,B,B,-,-,B,A,A,B,A,A,B,B,A,-,A,B,-,B,-,A,B,-,B,-,-,B,A,-,-,-,B,-,-,B,B,B,B,A,A,B,A,A,-,B,A,-,A,-,B,A,-,A,A,B,A,-,-,B,-,B,B,B,A,B,-,B,A,-,-,A,-,-,A,B,A,A,A,-,B,-,-,A,-,A,A,-,B,-,-,-,-,A,-,B,A,A,B,-,B,B,-,B,B,-,-,A,A,A
4A_154928663,4A,47.483,-,B,B,A,B,A,A,B,A,A,B,B,-,A,-,A,A,A,A,A,B,-,A,-,A,B,B,A,B,A,A,A,B,B,B,B,-,A,-,B,-,B,B,A,A,-,B,B,-,B,A,A,A,A,B,B,A,A,B,B,-,-,A,-,A,B,A,-,A,-,B,A,B,A,B,A,B,A,B,A,B,A,B,B,A,A,B,A,A,B,A,A,B,-,A,B,A,-,-,B,-,A,B,B,B,-,B,-,A,-,-,A,B,B,A,B,-,-,-,A,A,B,-,A,A,B,A,-,A,-,B,A,-,-,A,-,A,A,-,-,-,B,-,-,-,-,-,B,-,B,A,A,B,A,A,B,A,A,A,A,B,B,B,A,A,A,A,A,B,-,B,B,B,A,A,-,A,A,B,A,B,B,B,-,-,A,-,-,A,A
4A_159443321,4A,51.879,-,B,B,A,B,A,A,B,-,A,-,-,B,A,B,A,A,A,A,A,B,-,A,B,A,B,B,A,B,A,-,A,-,B,B,B,A,A,-,B,-,B,B,A,A,B,B,B,-,-,A,A,A,A,B,B,A,A,B,B,B,-,A,B,-,B,A,-,A,A,B,A,B,A,B,A,B,A,B,A,B,A,-,B,A,-,B,A,A,B,A,A,B,B,A,-,A,B,-,B,B,A,B,B,B,A,-,B,A,A,-,-,B,B,A,-,-,B,B,-,A,B,A,A,A,B,A,B,A,A,B,A,B,A,A,B,-,A,-,-,-,-,B,B,A,B,-,-,A,B,-,A,-,A,-,-,A,A,A,-,B,B,B,-,A,A,A,A,B,B,B,B,B,A,A,B,A,A,B,-,B,-,B,B,B,A,B,A,A,A
4A_177849195,4A,51.943,-,B,B,A,B,-,A,B,-,A,B,B,B,A,B,-,A,A,A,-,B,-,A,B,-,B,B,A,B,-,A,-,-,-,-,B,-,A,A,B,-,-,B,A,A,-,-,B,-,B,-,-,A,A,B,-,A,-,B,-,B,-,A,-,-,B,A,B,-,-,B,A,-,A,-,A,B,-,-,A,B,A,-,B,-,-,-,A,A,-,A,A,B,B,A,B,A,-,-,-,B,A,B,B,B,-,B,B,A,-,-,-,B,-,A,-,-,-,-,-,A,B,-,A,A,B,A,B,-,A,B,-,-,-,-,-,A,-,B,-,-,B,-,B,A,-,-,-,-,B,A,-,-,A,-,-,A,-,A,-,-,B,B,A,-,A,-,A,B,B,B,B,-,A,-,B,A,-,B,-,-,B,-,B,B,A,-,A,A,A
6B_8932603,4A,54.175,-,B,B,-,B,A,A,B,-,A,B,-,B,A,B,-,A,-,A,A,B,A,A,B,A,B,B,A,B,A,A,A,B,B,B,-,A,A,-,B,-,B,B,-,A,B,B,-,B,B,-,A,A,A,B,B,A,-,B,B,-,B,-,B,-,B,A,B,A,A,B,A,B,-,B,-,B,-,B,-,B,A,-,B,A,-,-,-,A,B,-,A,B,B,A,B,-,-,-,B,B,-,B,-,B,-,B,B,A,-,B,A,B,-,-,-,-,B,-,-,A,-,-,A,-,-,-,-,-,A,-,-,B,-,A,B,-,-,B,B,-,B,B,B,-,-,-,-,A,-,A,-,-,A,-,B,-,-,A,A,B,-,B,-,-,A,A,A,B,-,-,B,-,A,-,B,A,A,B,-,B,B,-,B,-,A,B,A,-,-
